id,lat,lon,alt
ARA,-7.583,-40.500,624
BJL,-13.234,-43.376,447
BRB,-15.601,-47.713,1023
CAI,-6.467,-37.085,176
CBA,-15.555,-56.070,185
CGR,-20.438,-54.538,677
CHP,-27.080,-52.614,700
CPA,-22.690,-45.006,574
CTB,-25.495,-49.331,891
FLN,-27.602,-48.518,31
JOI,-26.253,-48.858,48
MAC,-22.304,-41.875,22
MCL,-16.686,-43.869,675
NAT,-5.837,-35.206,58
ORN,-22.949,-49.894,446
PIR,-21.951,-47.453,606
PMA,-10.178,-48.362,216
PTR,-9.069,-40.320,387
RLM,-11.582,-61.774,252
SBR,-29.096,-49.813,15
SFC,-12.703,-38.570,17
SLZ,-2.593,-44.212,40
SMA,-18.729,-39.858,32
SMS,-29.443,-53.823,489
TLG,-20.751,-51.664,317
TMA,-5.383,-36.819,24
UBE,-19.998,-47.900,513
